ID,CreatedAt,Text,Retweets,Likes
1979851747310133572,2025-10-19 10:06:55+00:00,Unlock the power of premium living with Hisense Amazon Sale live with unbeatable discounts @Hisense_IND #HisenseIndia https://t.co/sM6pCSKHLj,0,0
1979851742918709362,2025-10-19 10:06:54+00:00,Upgrade made easy! 🚀 The Hisense Amazon Sale is now Live with massive discounts across its range of TVs and ACs. Shop the Global No.1 today! @Hisense_IND #HisenseIndia https://t.co/LtZqMPCQuk,0,0
1979851735071097058,2025-10-19 10:06:52+00:00,"Global No.1 technology at unbeatable prices! 🌍
Don’t miss the Hisense Amazon Sale — shop Hisense TV and AC now.
@Hisense_IND #HisenseIndia https://t.co/4mxWjBtoSb",0,0
1979851726653116647,2025-10-19 10:06:50+00:00,"Attention shoppers! 
The Amazon sale is live and Hisense India is turning up the excitement! Grab your favorite TVs and air conditioners today!
#HisenseIndia @Hisense_IND
https://t.co/WJgscuWSaI",0,0
1979851711834685661,2025-10-19 10:06:46+00:00,"Big screen dreams &amp; cool comfort in one sale! 📺❄️
Hisense Amazon Sale is LIVE. Grab your deal today.
https://t.co/nR093O6Dtx
#HisenseIndia @Hisense_IND",0,0
1979851694352839003,2025-10-19 10:06:42+00:00,"Smarter, sleeker, better — that’s Hisense! 💫 Grab your dream Hisense TV or Hisense AC now. The Amazon Sale is Live and offers are too good to miss! #HisenseIndia https://t.co/djrIWP0gmJ",0,0
1979851688346636482,2025-10-19 10:06:41+00:00,"It’s raining offers at the Hisense Amazon Sale! ☔ Bring home the ultimate viewing and cooling experience. Shop now: https://t.co/BQJL7X1sMj
https://t.co/hrm6QLd491",0,0
1979851687545466948,2025-10-19 10:06:40+00:00,"Celebrate innovation with the Global No.1 — Hisense India!
Get stunning deals on Hisense TVs &amp; ACs this Amazon Sale.
Smarter living starts with one click ➡️
https://t.co/f13Yi2Mc34
@Hisense_IND",0,0
1979851674148839751,2025-10-19 10:06:37+00:00,"Global No.1 technology at unbeatable prices! 🌍
Don’t miss the Hisense Amazon Sale — shop Hisense TV and AC now.
@Hisense_IND #HisenseIndia https://t.co/en5WnxHWDm",0,0
1979851662035657206,2025-10-19 10:06:34+00:00,"Level up your comfort and entertainment! Hisense India’s Amazon Sale is packed with amazing deals on premium TVs and ACs. Don’t miss your chance to upgrade today!
https://t.co/yyIIlHgUbB @Hisense_IND #HisenseIndia",0,0
